game_id,date,team_1,team_2,game_number,team_winner,patch_version
1,9-Aug-2024,tlid,fnoc,1,fnoc,1.9.06
2,9-Aug-2024,fnoc,tlid,2,fnoc,1.9.06
3,9-Aug-2024,dewa,evos,1,dewa,1.9.06
4,9-Aug-2024,dewa,evos,2,evos,1.9.06
5,9-Aug-2024,dewa,evos,3,dewa,1.9.06
6,10-Aug-2024,tlid,btr,1,btr,1.9.06
7,10-Aug-2024,tlid,btr,2,btr,1.9.06
8,10-Aug-2024,rrq,evos,1,rrq,1.9.06
9,10-Aug-2024,rrq,evos,2,rrq,1.9.06
10,10-Aug-2024,geek,ae,1,geek,1.9.06
11,10-Aug-2024,geek,ae,2,ae,1.9.06
12,10-Aug-2024,geek,ae,3,ae,1.9.06
13,11-Aug-2024,fnoc,rbl,1,fnoc,1.9.06
14,11-Aug-2024,rbl,fnoc,2,fnoc,1.9.06
15,11-Aug-2024,rrq,btr,1,btr,1.9.06
16,11-Aug-2024,btr,rrq,2,rrq,1.9.06
17,11-Aug-2024,btr,rrq,3,btr,1.9.06
18,11-Aug-2024,geek,dewa,1,dewa,1.9.06
19,11-Aug-2024,dewa,geek,2,dewa,1.9.06
20,16-Aug-2024,rbl,rrq,1,rrq,1.9.06
21,16-Aug-2024,rbl,rrq,2,rrq,1.9.06
22,16-Aug-2024,evos,tlid,1,tlid,1.9.06
23,16-Aug-2024,tlid,evos,2,evos,1.9.06
24,16-Aug-2024,evos,tlid,3,tlid,1.9.06
25,17-Aug-2024,btr,ae,1,btr,1.9.06
26,17-Aug-2024,btr,ae,2,btr,1.9.06
27,17-Aug-2024,fnoc,rrq,1,rrq,1.9.06
28,17-Aug-2024,rrq,fnoc,2,rrq,1.9.06
29,17-Aug-2024,geek,evos,1,geek,1.9.06
30,17-Aug-2024,evos,geek,2,evos,1.9.06
31,17-Aug-2024,evos,geek,3,geek,1.9.06
32,18-Aug-2024,dewa,btr,1,btr,1.9.06
33,18-Aug-2024,btr,dewa,2,btr,1.9.06
34,18-Aug-2024,fnoc,ae,1,fnoc,1.9.06
35,18-Aug-2024,ae,fnoc,2,fnoc,1.9.06
36,18-Aug-2024,tlid,rbl,1,tlid,1.9.06
37,18-Aug-2024,rbl,tlid,2,tlid,1.9.06
38,23-Aug-2024,fnoc,geek,1,geek,1.9.06
39,23-Aug-2024,geek,fnoc,2,fnoc,1.9.06
40,23-Aug-2024,fnoc,geek,3,geek,1.9.06
41,23-Aug-2024,dewa,rbl,1,dewa,1.9.06
42,23-Aug-2024,rbl,dewa,2,dewa,1.9.06
43,24-Aug-2024,geek,btr,1,geek,1.9.06
44,24-Aug-2024,btr,geek,2,btr,1.9.06
45,24-Aug-2024,geek,btr,3,geek,1.9.06
46,24-Aug-2024,evos,ae,1,evos,1.9.06
47,24-Aug-2024,ae,evos,2,ae,1.9.06
48,24-Aug-2024,evos,ae,3,evos,1.9.06
49,24-Aug-2024,dewa,tlid,1,tlid,1.9.06
50,24-Aug-2024,dewa,tlid,2,tlid,1.9.06
51,25-Aug-2024,rbl,ae,1,ae,1.9.06
52,25-Aug-2024,rbl,ae,2,rbl,1.9.06
53,25-Aug-2024,ae,rbl,3,ae,1.9.06
54,25-Aug-2024,tlid,rrq,1,rrq,1.9.06
55,25-Aug-2024,tlid,rrq,2,rrq,1.9.06
