hero,ban,pick,win,banrate,pickrate,winrate
akai,5.0,15.0,5.0,2.37,7.11,33.33
alice,7.0,11.0,4.0,3.32,5.21,36.36
alpha,43.0,71.0,39.0,20.38,33.65,54.93
angela,15.0,24.0,12.0,7.11,11.37,50.0
arlott,31.0,57.0,29.0,14.69,27.01,50.88
atlas,0.0,1.0,1.0,0.0,0.47,100.0
aurora,21.0,43.0,25.0,9.95,20.38,58.14
bane,7.0,21.0,13.0,3.32,9.95,61.9
barats,5.0,16.0,9.0,2.37,7.58,56.25
beatrix,11.0,29.0,18.0,5.21,13.74,62.07
benedetta,4.0,9.0,4.0,1.9,4.27,44.44
brody,2.0,5.0,2.0,0.95,2.37,40.0
bruno,6.0,11.0,5.0,2.84,5.21,45.45
carmilla,8.0,7.0,5.0,3.79,3.32,71.43
cecilion,0.0,1.0,1.0,0.0,0.47,100.0
chip,204.0,7.0,3.0,96.68,3.32,42.86
chou,32.0,44.0,19.0,15.17,20.85,43.18
cici,7.0,1.0,0.0,3.32,0.47,0.0
claude,19.0,39.0,17.0,9.0,18.48,43.59
clint,0.0,9.0,4.0,0.0,4.27,44.44
edith,47.0,97.0,47.0,22.27,45.97,48.45
fanny,163.0,21.0,6.0,77.25,9.95,28.57
faramis,39.0,50.0,33.0,18.48,23.7,66.0
franco,14.0,15.0,8.0,6.64,7.11,53.33
fredrinn,2.0,2.0,2.0,0.95,0.95,100.0
gatotkaca,37.0,50.0,25.0,17.54,23.7,50.0
gloo,1.0,7.0,2.0,0.47,3.32,28.57
grock,12.0,19.0,8.0,5.69,9.0,42.11
guinevere,0.0,2.0,1.0,0.0,0.95,50.0
hanabi,1.0,2.0,0.0,0.47,0.95,0.0
harith,94.0,76.0,43.0,44.55,36.02,56.58
hayabusa,89.0,45.0,21.0,42.18,21.33,46.67
helcurt,50.0,2.0,1.0,23.7,0.95,50.0
hilda,6.0,6.0,5.0,2.84,2.84,83.33
hylos,78.0,76.0,43.0,36.97,36.02,56.58
irithel,5.0,7.0,5.0,2.37,3.32,71.43
ixia,1.0,3.0,2.0,0.47,1.42,66.67
jawhead,12.0,30.0,12.0,5.69,14.22,40.0
joy,7.0,14.0,3.0,3.32,6.64,21.43
julian,18.0,49.0,18.0,8.53,23.22,36.73
kadita,0.0,1.0,0.0,0.0,0.47,0.0
kaja,20.0,17.0,7.0,9.48,8.06,41.18
karrie,10.0,26.0,10.0,4.74,12.32,38.46
khaleed,24.0,36.0,20.0,11.37,17.06,55.56
khufra,9.0,16.0,4.0,4.27,7.58,25.0
lancelot,3.0,11.0,7.0,1.42,5.21,63.64
ling,114.0,49.0,25.0,54.03,23.22,51.02
lolita,13.0,10.0,3.0,6.16,4.74,30.0
lunox,16.0,34.0,17.0,7.58,16.11,50.0
luo yi,36.0,22.0,14.0,17.06,10.43,63.64
lylia,2.0,9.0,4.0,0.95,4.27,44.44
martis,0.0,1.0,0.0,0.0,0.47,0.0
masha,0.0,1.0,0.0,0.0,0.47,0.0
mathilda,63.0,48.0,31.0,29.86,22.75,64.58
melissa,2.0,2.0,0.0,0.95,0.95,0.0
minotaur,13.0,11.0,6.0,6.16,5.21,54.55
minsitthar,0.0,1.0,0.0,0.0,0.47,0.0
moskov,49.0,69.0,30.0,23.22,32.7,43.48
nana,0.0,1.0,0.0,0.0,0.47,0.0
natalia,5.0,1.0,1.0,2.37,0.47,100.0
natan,27.0,40.0,22.0,12.8,18.96,55.0
nolan,39.0,74.0,35.0,18.48,35.07,47.3
novaria,0.0,2.0,0.0,0.0,0.95,0.0
paquito,0.0,1.0,1.0,0.0,0.47,100.0
pharsa,0.0,1.0,1.0,0.0,0.47,100.0
phoveus,91.0,64.0,38.0,43.13,30.33,59.38
rafaela,0.0,3.0,1.0,0.0,1.42,33.33
roger,44.0,75.0,38.0,20.85,35.55,50.67
ruby,46.0,66.0,34.0,21.8,31.28,51.52
saber,1.0,0.0,0.0,0.47,0.0,0.0
suyou,25.0,10.0,8.0,11.85,4.74,80.0
terizla,28.0,61.0,27.0,13.27,28.91,44.26
thamuz,1.0,8.0,5.0,0.47,3.79,62.5
tigreal,57.0,35.0,18.0,27.01,16.59,51.43
uranus,0.0,1.0,1.0,0.0,0.47,100.0
valentina,38.0,78.0,34.0,18.01,36.97,43.59
vexana,21.0,49.0,19.0,9.95,23.22,38.78
wanwan,24.0,16.0,11.0,11.37,7.58,68.75
x.borg,24.0,13.0,8.0,11.37,6.16,61.54
yin,0.0,1.0,1.0,0.0,0.47,100.0
yu zhong,1.0,5.0,2.0,0.47,2.37,40.0
yve,28.0,54.0,33.0,13.27,25.59,61.11
zhask,30.0,59.0,24.0,14.22,27.96,40.68
zhuxin,103.0,34.0,15.0,48.82,16.11,44.12
