game_id,team_1_pick_1,team_1_pick_2,team_1_pick_3,team_1_pick_4,team_1_pick_5,team_2_pick_1,team_2_pick_2,team_2_pick_3,team_2_pick_4,team_2_pick_5
1,luo yi,edith,moskov,julian,minotaur,valentina,roger,arlott,chou,harith
2,valentina,nolan,harith,minotaur,thamuz,roger,edith,arlott,vexana,joy
3,valentina,edith,claude,julian,hylos,khufra,moskov,vexana,ruby,nolan
4,valentina,arlott,moskov,julian,x.borg,roger,zhask,hylos,guinevere,claude
5,valentina,hylos,moskov,julian,paquito,roger,harith,x.borg,guinevere,novaria
6,zhask,minotaur,moskov,nolan,barats,ruby,roger,valentina,terizla,mathilda
7,roger,edith,valentina,harith,chou,moskov,ruby,luo yi,arlott,yin
8,edith,zhuxin,alpha,ruby,karrie,terizla,hayabusa,zhask,roger,carmilla
9,edith,ruby,claude,yve,nolan,roger,zhuxin,minotaur,alpha,yu zhong
10,moskov,helcurt,julian,zhuxin,arlott,edith,valentina,hylos,karrie,lancelot
11,roger,zhask,arlott,karrie,edith,ruby,moskov,alpha,valentina,terizla
12,roger,arlott,khufra,lylia,julian,hayabusa,ruby,zhask,tigreal,claude
13,roger,valentina,arlott,julian,minotaur,hayabusa,zhask,khufra,karrie,terizla
14,hayabusa,chou,vexana,edith,melissa,roger,khufra,terizla,faramis,claude
15,roger,julian,terizla,aurora,minotaur,valentina,ruby,moskov,arlott,x.borg
16,ling,harith,valentina,terizla,grock,roger,aurora,fredrinn,arlott,faramis
17,ling,arlott,harith,faramis,tigreal,edith,zhask,hayabusa,jawhead,claude
18,zhuxin,harith,fanny,khufra,gloo,ruby,roger,aurora,terizla,alpha
19,edith,aurora,roger,chou,alpha,zhuxin,hayabusa,arlott,terizla,claude
20,zhask,moskov,julian,terizla,gloo,roger,edith,aurora,franco,natan
21,zhask,julian,terizla,beatrix,kaja,aurora,edith,alpha,natan,khufra
22,hayabusa,harith,hylos,jawhead,vexana,edith,zhask,x.borg,moskov,mathilda
23,fanny,zhuxin,hylos,harith,chou,edith,moskov,zhask,gloo,lancelot
24,hayabusa,aurora,hylos,claude,jawhead,edith,zhask,karrie,minotaur,joy
25,ruby,harith,valentina,benedetta,grock,roger,zhask,hylos,tigreal,lunox
26,ruby,arlott,harith,luo yi,x.borg,roger,valentina,hylos,tigreal,claude
27,zhask,hayabusa,claude,gloo,chou,ruby,harith,roger,valentina,thamuz
28,roger,ruby,luo yi,nolan,terizla,edith,zhask,julian,claude,arlott
29,ling,ruby,harith,luo yi,terizla,khufra,roger,fanny,aurora,edith
30,zhask,tigreal,harith,alpha,barats,ruby,terizla,vexana,nolan,natan
31,zhask,karrie,franco,terizla,nolan,hylos,harith,ruby,roger,vexana
32,roger,zhuxin,chou,natan,khufra,arlott,valentina,hayabusa,mathilda,bruno
33,valentina,arlott,roger,yu zhong,x.borg,harith,terizla,alpha,chou,yve
34,harith,nolan,tigreal,faramis,edith,ruby,zhask,alpha,karrie,benedetta
35,roger,ruby,valentina,chou,lancelot,hayabusa,edith,moskov,aurora,minotaur
36,zhask,roger,edith,mathilda,x.borg,terizla,moskov,grock,alpha,yve
37,hayabusa,khufra,roger,lunox,gloo,valentina,edith,karrie,terizla,joy
38,ling,vexana,hylos,bruno,terizla,roger,valentina,chou,natalia,moskov
39,ling,edith,valentina,kaja,lunox,roger,harith,ruby,aurora,arlott
40,ling,edith,valentina,grock,clint,roger,ruby,zhask,moskov,thamuz
41,valentina,fanny,edith,jawhead,claude,hayabusa,moskov,khufra,ruby,nana
42,zhuxin,roger,arlott,joy,kaja,moskov,edith,aurora,mathilda,x.borg
43,roger,zhask,edith,lunox,terizla,harith,hayabusa,arlott,jawhead,aurora
