game_id,date,team_1,team_2,game_number,team_winner,patch_version,team_1_ban_1,team_1_ban_2,team_1_ban_3,team_1_ban_4,team_1_ban_5,team_2_ban_1,team_2_ban_2,team_2_ban_3,team_2_ban_4,team_2_ban_5,team_1_pick_1,team_1_pick_2,team_1_pick_3,team_1_pick_4,team_1_pick_5,team_2_pick_1,team_2_pick_2,team_2_pick_3,team_2_pick_4,team_2_pick_5,season
1,9-Aug-2024,tlid,fnoc,1,fnoc,1.9.06,fanny,zhask,hayabusa,joy,nolan,chip,ling,zhuxin,x.borg,hylos,luo yi,edith,moskov,julian,minotaur,valentina,roger,arlott,chou,harith,14
2,9-Aug-2024,fnoc,tlid,2,fnoc,1.9.06,zhuxin,khufra,moskov,hayabusa,luo yi,chip,ling,fanny,terizla,hylos,valentina,nolan,harith,minotaur,thamuz,roger,edith,arlott,vexana,joy,14
3,9-Aug-2024,dewa,evos,1,dewa,1.9.06,terizla,zhuxin,harith,hayabusa,alpha,chip,zhask,ling,minotaur,carmilla,valentina,edith,claude,julian,hylos,khufra,moskov,vexana,ruby,nolan,14
4,9-Aug-2024,dewa,evos,2,evos,1.9.06,terizla,zhuxin,harith,alpha,hayabusa,chip,ling,edith,fanny,joy,valentina,arlott,moskov,julian,x.borg,roger,zhask,hylos,guinevere,claude,14
5,9-Aug-2024,dewa,evos,3,dewa,1.9.06,zhuxin,terizla,zhask,luo yi,minotaur,chip,ling,edith,fanny,hayabusa,valentina,hylos,moskov,julian,paquito,roger,harith,x.borg,guinevere,novaria,14
6,10-Aug-2024,tlid,btr,1,btr,1.9.06,fanny,x.borg,zhuxin,harith,hayabusa,chip,ling,hylos,julian,alpha,zhask,minotaur,moskov,nolan,barats,ruby,roger,valentina,terizla,mathilda,14
7,10-Aug-2024,tlid,btr,2,btr,1.9.06,fanny,zhuxin,x.borg,minotaur,kaja,chip,ling,hylos,hayabusa,lolita,roger,edith,valentina,harith,chou,moskov,ruby,luo yi,arlott,yin,14
8,10-Aug-2024,rrq,evos,1,rrq,1.9.06,harith,valentina,hylos,tigreal,minotaur,chip,ling,fanny,claude,moskov,edith,zhuxin,alpha,ruby,karrie,terizla,hayabusa,zhask,roger,carmilla,14
9,10-Aug-2024,rrq,evos,2,rrq,1.9.06,harith,valentina,hayabusa,hylos,cici,chip,ling,fanny,julian,joy,edith,ruby,claude,yve,nolan,roger,zhuxin,minotaur,alpha,yu zhong,14
10,10-Aug-2024,geek,ae,1,geek,1.9.06,fanny,harith,hayabusa,alpha,claude,chip,ling,roger,cici,barats,moskov,helcurt,julian,zhuxin,arlott,edith,valentina,hylos,karrie,lancelot,14
11,10-Aug-2024,geek,ae,2,ae,1.9.06,fanny,harith,hayabusa,aurora,hylos,chip,ling,helcurt,minotaur,tigreal,roger,zhask,arlott,karrie,edith,ruby,moskov,alpha,valentina,terizla,14
12,10-Aug-2024,geek,ae,3,ae,1.9.06,fanny,harith,moskov,terizla,hylos,chip,helcurt,ling,aurora,faramis,roger,arlott,khufra,lylia,julian,hayabusa,ruby,zhask,tigreal,claude,14
13,11-Aug-2024,fnoc,rbl,1,fnoc,1.9.06,luo yi,zhuxin,hylos,harith,moskov,ling,fanny,chip,grock,chou,roger,valentina,arlott,julian,minotaur,hayabusa,zhask,khufra,karrie,terizla,14
14,11-Aug-2024,rbl,fnoc,2,fnoc,1.9.06,fanny,zhuxin,zhask,valentina,aurora,chip,ling,luo yi,hylos,x.borg,hayabusa,chou,vexana,edith,melissa,roger,khufra,terizla,faramis,claude,14
15,11-Aug-2024,rrq,btr,1,btr,1.9.06,fanny,harith,zhuxin,tigreal,alpha,chip,ling,hylos,zhask,luo yi,roger,julian,terizla,aurora,minotaur,valentina,ruby,moskov,arlott,x.borg,14
16,11-Aug-2024,btr,rrq,2,rrq,1.9.06,khufra,zhuxin,ruby,hylos,edith,chip,fanny,luo yi,tigreal,x.borg,ling,harith,valentina,terizla,grock,roger,aurora,fredrinn,arlott,faramis,14
17,11-Aug-2024,btr,rrq,3,btr,1.9.06,khufra,zhuxin,ruby,moskov,roger,chip,fanny,valentina,aurora,angela,ling,arlott,harith,faramis,tigreal,edith,zhask,hayabusa,jawhead,claude,14
