game_id,date,team_1,team_2,game_number,team_winner,patch_version,season,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,step_14,step_15,step_16,step_17,step_18,step_19,step_20
1,9-Aug-2024,tlid,fnoc,1,fnoc,1.9.06,14,fanny,chip,zhask,ling,hayabusa,zhuxin,luo yi,valentina,roger,edith,moskov,arlott,x.borg,joy,hylos,nolan,chou,julian,minotaur,harith
2,9-Aug-2024,fnoc,tlid,2,fnoc,1.9.06,14,zhuxin,chip,khufra,ling,moskov,fanny,valentina,roger,edith,nolan,harith,arlott,terizla,hayabusa,hylos,luo yi,vexana,minotaur,thamuz,joy
3,9-Aug-2024,dewa,evos,1,dewa,1.9.06,14,terizla,chip,zhuxin,zhask,harith,ling,valentina,khufra,moskov,edith,claude,vexana,minotaur,hayabusa,carmilla,alpha,ruby,julian,hylos,nolan
4,9-Aug-2024,dewa,evos,2,evos,1.9.06,14,terizla,chip,zhuxin,ling,harith,edith,valentina,roger,zhask,arlott,moskov,hylos,fanny,alpha,joy,hayabusa,guinevere,julian,x.borg,claude
5,9-Aug-2024,dewa,evos,3,dewa,1.9.06,14,zhuxin,chip,terizla,ling,zhask,edith,valentina,roger,harith,hylos,moskov,x.borg,fanny,luo yi,hayabusa,minotaur,guinevere,julian,paquito,novaria
6,10-Aug-2024,tlid,btr,1,btr,1.9.06,14,fanny,chip,x.borg,ling,zhuxin,hylos,zhask,ruby,roger,minotaur,moskov,valentina,julian,harith,alpha,hayabusa,terizla,nolan,barats,mathilda
7,10-Aug-2024,tlid,btr,2,btr,1.9.06,14,fanny,chip,zhuxin,ling,x.borg,hylos,roger,moskov,ruby,edith,valentina,luo yi,hayabusa,minotaur,lolita,kaja,arlott,harith,chou,yin
8,10-Aug-2024,rrq,evos,1,rrq,1.9.06,14,harith,chip,valentina,ling,hylos,fanny,edith,terizla,hayabusa,zhuxin,alpha,zhask,claude,tigreal,moskov,minotaur,roger,ruby,karrie,carmilla
9,10-Aug-2024,rrq,evos,2,rrq,1.9.06,14,harith,chip,valentina,ling,hayabusa,fanny,edith,roger,zhuxin,ruby,claude,minotaur,julian,hylos,joy,cici,alpha,yve,nolan,yu zhong
10,10-Aug-2024,geek,ae,1,geek,1.9.06,14,fanny,chip,harith,ling,hayabusa,roger,moskov,edith,valentina,helcurt,julian,hylos,cici,alpha,barats,claude,karrie,zhuxin,arlott,lancelot
11,10-Aug-2024,geek,ae,2,ae,1.9.06,14,fanny,chip,harith,ling,hayabusa,helcurt,roger,ruby,moskov,zhask,arlott,alpha,minotaur,aurora,tigreal,hylos,valentina,karrie,edith,terizla
12,10-Aug-2024,geek,ae,3,ae,1.9.06,14,fanny,chip,harith,helcurt,moskov,ling,roger,hayabusa,ruby,arlott,khufra,zhask,aurora,terizla,faramis,hylos,tigreal,lylia,julian,claude
13,11-Aug-2024,fnoc,rbl,1,fnoc,1.9.06,14,luo yi,ling,zhuxin,fanny,hylos,chip,roger,hayabusa,zhask,valentina,arlott,khufra,grock,harith,chou,moskov,karrie,julian,minotaur,terizla
14,11-Aug-2024,rbl,fnoc,2,fnoc,1.9.06,14,fanny,chip,zhuxin,ling,zhask,luo yi,hayabusa,roger,khufra,chou,vexana,terizla,hylos,valentina,x.borg,aurora,faramis,edith,melissa,claude
15,11-Aug-2024,rrq,btr,1,btr,1.9.06,14,fanny,chip,harith,ling,zhuxin,hylos,roger,valentina,ruby,julian,terizla,moskov,zhask,tigreal,luo yi,alpha,arlott,aurora,minotaur,x.borg
16,11-Aug-2024,btr,rrq,2,rrq,1.9.06,14,khufra,chip,zhuxin,fanny,ruby,luo yi,ling,roger,aurora,harith,valentina,fredrinn,tigreal,hylos,x.borg,edith,arlott,terizla,grock,faramis
17,11-Aug-2024,btr,rrq,3,btr,1.9.06,14,khufra,chip,zhuxin,fanny,ruby,valentina,ling,edith,zhask,arlott,harith,hayabusa,aurora,moskov,angela,roger,jawhead,faramis,tigreal,claude
18,11-Aug-2024,geek,dewa,1,dewa,1.9.06,14,edith,chip,valentina,helcurt,hayabusa,ling,zhuxin,ruby,roger,harith,fanny,aurora,arlott,moskov,tigreal,julian,terizla,khufra,gloo,alpha
19,11-Aug-2024,dewa,geek,2,dewa,1.9.06,14,helcurt,chip,ruby,valentina,ling,hylos,edith,zhuxin,hayabusa,aurora,roger,arlott,fanny,harith,julian,moskov,terizla,chou,alpha,claude
20,16-Aug-2024,rbl,rrq,1,rrq,1.9.06,14,zhuxin,chip,fanny,ling,ruby,hayabusa,zhask,roger,edith,moskov,julian,aurora,hylos,harith,tigreal,arlott,franco,terizla,gloo,natan
21,16-Aug-2024,rbl,rrq,2,rrq,1.9.06,14,zhuxin,chip,fanny,ling,roger,hayabusa,zhask,aurora,edith,julian,terizla,alpha,tigreal,moskov,hylos,harith,natan,beatrix,kaja,khufra
22,16-Aug-2024,evos,tlid,1,tlid,1.9.06,14,fanny,chip,ruby,ling,julian,valentina,hayabusa,edith,zhask,harith,hylos,x.borg,zhuxin,karrie,aurora,nolan,moskov,jawhead,vexana,mathilda
