game_id,date,team_1,team_2,game_number,team_winner,patch_version
1,7-Mar-2025,rrq,navi,1,rrq,1.9.42
2,7-Mar-2025,rrq,navi,2,rrq,1.9.42
3,7-Mar-2025,evos,tlid,1,evos,1.9.42
4,7-Mar-2025,tlid,evos,2,tlid,1.9.42
5,7-Mar-2025,tlid,evos,3,evos,1.9.42
6,8-Mar-2025,geek,evos,1,evos,1.9.42
7,8-Mar-2025,evos,geek,2,evos,1.9.42
8,8-Mar-2025,btr,ae,1,btr,1.9.42
9,8-Mar-2025,ae,btr,2,btr,1.9.42
10,8-Mar-2025,rrq,onic,1,rrq,1.9.42
11,8-Mar-2025,onic,rrq,2,rrq,1.9.42
12,9-Mar-2025,dewa,btr,1,btr,1.9.42
13,9-Mar-2025,btr,dewa,2,dewa,1.9.42
14,9-Mar-2025,dewa,btr,3,dewa,1.9.42
15,9-Mar-2025,ae,onic,1,ae,1.9.42
16,9-Mar-2025,onic,ae,2,onic,1.9.42
17,9-Mar-2025,ae,onic,3,ae,1.9.42
18,9-Mar-2025,tlid,navi,1,navi,1.9.42
19,9-Mar-2025,tlid,navi,2,tlid,1.9.42
20,9-Mar-2025,navi,tlid,3,tlid,1.9.42
21,14-Mar-2025,onic,geek,1,onic,1.9.48
22,14-Mar-2025,onic,geek,2,geek,1.9.48
23,14-Mar-2025,onic,geek,3,geek,1.9.48
24,14-Mar-2025,dewa,navi,1,dewa,1.9.48
25,14-Mar-2025,dewa,navi,2,dewa,1.9.48
26,15-Mar-2025,ae,navi,1,ae,1.9.48
27,15-Mar-2025,ae,navi,2,navi,1.9.48
28,15-Mar-2025,ae,navi,3,ae,1.9.48
29,15-Mar-2025,rrq,tlid,1,rrq,1.9.48
30,15-Mar-2025,tlid,rrq,2,rrq,1.9.48
31,15-Mar-2025,btr,evos,1,evos,1.9.48
32,15-Mar-2025,btr,evos,2,btr,1.9.48
33,15-Mar-2025,btr,evos,3,evos,1.9.48
34,16-Mar-2025,geek,btr,1,btr,1.9.48
35,16-Mar-2025,btr,geek,2,btr,1.9.48
36,16-Mar-2025,ae,evos,1,ae,1.9.48
37,16-Mar-2025,evos,ae,2,ae,1.9.48
38,16-Mar-2025,tlid,dewa,1,tlid,1.9.48
39,16-Mar-2025,dewa,tlid,2,tlid,1.9.48
40,21-Mar-2025,onic,dewa,1,onic,1.9.64
41,21-Mar-2025,dewa,onic,2,dewa,1.9.64
42,21-Mar-2025,onic,dewa,3,onic,1.9.64
43,21-Mar-2025,navi,evos,1,evos,1.9.64
44,21-Mar-2025,evos,navi,2,evos,1.9.64
45,22-Mar-2025,tlid,geek,1,tlid,1.9.64
46,22-Mar-2025,geek,tlid,2,geek,1.9.64
47,22-Mar-2025,tlid,geek,3,geek,1.9.64
48,22-Mar-2025,onic,btr,1,onic,1.9.64
49,22-Mar-2025,btr,onic,2,onic,1.9.64
50,22-Mar-2025,rrq,ae,1,ae,1.9.64
51,22-Mar-2025,rrq,ae,2,rrq,1.9.64
52,22-Mar-2025,rrq,ae,3,rrq,1.9.64
53,23-Mar-2025,btr,navi,1,btr,1.9.64
54,23-Mar-2025,navi,btr,2,navi,1.9.64
55,23-Mar-2025,btr,navi,3,btr,1.9.64
56,23-Mar-2025,geek,rrq,1,rrq,1.9.64
57,23-Mar-2025,geek,rrq,2,geek,1.9.64
58,23-Mar-2025,geek,rrq,3,rrq,1.9.64
59,23-Mar-2025,ae,dewa,1,dewa,1.9.64
60,23-Mar-2025,dewa,ae,2,ae,1.9.64
61,23-Mar-2025,ae,dewa,3,ae,1.9.64
62,18-Apr-2025,navi,onic,1,navi,1.9.64
63,18-Apr-2025,onic,navi,2,onic,1.9.64
64,18-Apr-2025,navi,onic,3,onic,1.9.64
65,18-Apr-2025,dewa,evos,1,dewa,1.9.64
66,18-Apr-2025,dewa,evos,2,evos,1.9.64
67,18-Apr-2025,dewa,evos,3,dewa,1.9.64
68,19-Apr-2025,btr,tlid,1,tlid,1.9.64
69,19-Apr-2025,tlid,btr,2,btr,1.9.64
70,19-Apr-2025,tlid,btr,3,btr,1.9.64
71,19-Apr-2025,rrq,evos,1,rrq,1.9.64
72,19-Apr-2025,evos,rrq,2,evos,1.9.64
73,19-Apr-2025,rrq,evos,3,rrq,1.9.64
74,19-Apr-2025,geek,ae,1,ae,1.9.64
75,19-Apr-2025,geek,ae,2,geek,1.9.64
76,19-Apr-2025,ae,geek,3,geek,1.9.64
77,20-Apr-2025,onic,tlid,1,tlid,1.9.64
78,20-Apr-2025,onic,tlid,2,onic,1.9.64
79,20-Apr-2025,onic,tlid,3,tlid,1.9.64
80,20-Apr-2025,rrq,btr,1,btr,1.9.64
81,20-Apr-2025,rrq,btr,2,btr,1.9.64
82,20-Apr-2025,dewa,geek,1,geek,1.9.64
83,20-Apr-2025,dewa,geek,2,dewa,1.9.64
84,20-Apr-2025,dewa,geek,3,geek,1.9.64
85,25-Apr-2025,geek,navi,1,geek,1.9.68
86,25-Apr-2025,geek,navi,2,geek,1.9.68
87,25-Apr-2025,evos,onic,1,evos,1.9.68
88,25-Apr-2025,onic,evos,2,evos,1.9.68
89,26-Apr-2025,dewa,rrq,1,rrq,1.9.68
90,26-Apr-2025,dewa,rrq,2,rrq,1.9.68
91,26-Apr-2025,tlid,ae,1,tlid,1.9.68
92,26-Apr-2025,ae,tlid,2,ae,1.9.68
93,26-Apr-2025,tlid,ae,3,tlid,1.9.68
94,26-Apr-2025,evos,btr,1,evos,1.9.68
95,26-Apr-2025,evos,btr,2,btr,1.9.68
96,26-Apr-2025,evos,btr,3,btr,1.9.68
97,27-Apr-2025,ae,navi,1,navi,1.9.68
98,27-Apr-2025,ae,navi,2,ae,1.9.68
99,27-Apr-2025,ae,navi,3,ae,1.9.68
100,27-Apr-2025,geek,onic,1,geek,1.9.68
101,27-Apr-2025,onic,geek,2,onic,1.9.68
102,27-Apr-2025,geek,onic,3,onic,1.9.68
103,27-Apr-2025,dewa,tlid,1,tlid,1.9.68
104,27-Apr-2025,tlid,dewa,2,dewa,1.9.68
105,27-Apr-2025,dewa,tlid,3,tlid,1.9.68
106,2-May-2025,navi,dewa,1,dewa,1.9.68
107,2-May-2025,navi,dewa,2,dewa,1.9.68
108,2-May-2025,ae,geek,1,geek,1.9.68
109,2-May-2025,ae,geek,2,geek,1.9.68
110,3-May-2025,evos,ae,1,ae,1.9.68
111,3-May-2025,ae,evos,2,ae,1.9.68
112,3-May-2025,onic,tlid,1,onic,1.9.68
113,3-May-2025,tlid,onic,2,onic,1.9.68
114,3-May-2025,btr,rrq,1,btr,1.9.68
115,3-May-2025,rrq,btr,2,rrq,1.9.68
116,3-May-2025,rrq,btr,3,rrq,1.9.68
117,4-May-2025,navi,tlid,1,tlid,1.9.68
118,4-May-2025,navi,tlid,2,tlid,1.9.68
119,4-May-2025,rrq,onic,1,rrq,1.9.68
120,4-May-2025,rrq,onic,2,onic,1.9.68
121,4-May-2025,rrq,onic,3,onic,1.9.68
122,4-May-2025,geek,evos,1,evos,1.9.68
123,4-May-2025,geek,evos,2,geek,1.9.68
124,4-May-2025,geek,evos,3,geek,1.9.68
125,9-May-2025,geek,dewa,1,geek,1.9.68
126,9-May-2025,geek,dewa,2,geek,1.9.68
127,9-May-2025,tlid,btr,1,btr,1.9.68
128,9-May-2025,tlid,btr,2,tlid,1.9.68
129,9-May-2025,tlid,btr,3,tlid,1.9.68
130,10-May-2025,ae,dewa,1,ae,1.9.68
131,10-May-2025,ae,dewa,2,ae,1.9.68
132,10-May-2025,rrq,evos,1,rrq,1.9.68
133,10-May-2025,rrq,evos,2,rrq,1.9.68
134,10-May-2025,navi,onic,1,onic,1.9.68
135,10-May-2025,onic,navi,2,onic,1.9.68
136,11-May-2025,rrq,geek,1,geek,1.9.68
137,11-May-2025,geek,rrq,2,rrq,1.9.68
138,11-May-2025,geek,rrq,3,rrq,1.9.68
139,11-May-2025,btr,navi,1,btr,1.9.68
140,11-May-2025,navi,btr,2,btr,1.9.68
141,11-May-2025,evos,tlid,1,tlid,1.9.68
142,11-May-2025,tlid,evos,2,evos,1.9.68
143,11-May-2025,tlid,evos,3,tlid,1.9.68
144,16-May-2025,ae,tlid,1,ae,1.9.68
